,deviceCategory,channelGrouping,PageDepth,sessionDuration,transactions,operatingSystem,landingPageKeyWord,fuente,transporte
14972,desktop,Organic Search,2,10.0,0,Windows,home,google,organic
14973,desktop,Direct,9,109.0,0,Windows,home,(direct),(none)
14974,desktop,Paid Search,4,276.0,0,Macintosh,product,google,cpc
14975,desktop,Paid Search,5,206.0,0,Macintosh,product,google,cpc
14976,desktop,Direct,5,55.0,0,Macintosh,home,(direct),(none)
14977,desktop,Organic Search,2,11.0,0,Windows,home,google,organic
14978,desktop,Organic Search,4,96.0,0,Windows,home,google,organic
14979,desktop,Paid Search,2,550.0,0,Windows,product,google,cpc
14980,desktop,Organic Search,8,836.0,0,Windows,home,google,organic
14981,desktop,Direct,18,1150.0,1,Windows,home,(direct),(none)
14982,desktop,Direct,12,272.0,0,Windows,home,(direct),(none)
14983,desktop,Organic Search,6,246.0,0,Macintosh,product,google,organic
14984,desktop,Organic Search,9,156.0,0,Macintosh,home,google,organic
14985,desktop,Organic Search,18,838.0,0,Windows,home,google,organic
14986,desktop,Organic Search,6,57.0,0,Windows,home,google,organic
14987,desktop,Organic Search,4,178.0,0,Macintosh,home,google,organic
14988,desktop,Paid Search,4,679.0,0,Windows,product,google,cpc
14989,desktop,Organic Search,3,18.0,0,Macintosh,home,google,organic
14990,desktop,Organic Search,7,268.0,0,Windows,home,google,organic
14991,desktop,Paid Search,7,802.0,0,Windows,product,google,cpc
14992,desktop,Paid Search,2,20.0,0,Windows,product,google,cpc
14993,desktop,Paid Search,4,143.0,0,Windows,product,google,cpc
14994,desktop,Paid Search,21,1024.0,0,Windows,product,google,cpc
14995,desktop,Organic Search,8,45.0,0,Windows,home,google,organic
14996,desktop,Organic Search,10,66.0,0,Macintosh,home,google,organic
14997,desktop,Direct,8,107.0,0,Windows,home,(direct),(none)
14998,desktop,Direct,3,206.0,0,Windows,home,(direct),(none)
14999,desktop,Organic Search,3,40.0,0,Windows,home,google,organic
15000,mobile,Paid Search,2,27.0,0,Windows,product,google,cpc
15001,mobile,Paid Search,2,4.0,0,Windows,product,google,cpc
15002,mobile,Paid Search,2,9.0,0,Windows,product,google,cpc
15003,mobile,Paid Search,6,150.0,0,Windows,product,google,cpc
15004,desktop,Direct,5,164.0,0,Windows,home,(direct),(none)
15005,desktop,Organic Search,8,1140.0,0,Windows,product,google,organic
15006,desktop,Organic Search,18,690.0,0,Windows,home,google,organic
15007,desktop,Organic Search,3,81.0,0,Windows,home,google,organic
15008,desktop,Organic Search,3,18.0,0,Windows,home,google,organic
15009,desktop,Organic Search,5,333.0,0,Windows,home,google,organic
15010,desktop,Organic Search,3,25.0,0,Windows,home,google,organic
15011,desktop,Organic Search,47,560.0,0,Windows,home,google,organic
15012,desktop,Organic Search,9,142.0,0,Windows,home,google,organic
15013,desktop,Paid Search,5,129.0,0,Windows,product,google,cpc
15014,desktop,Organic Search,6,111.0,0,Windows,home,google,organic
15015,desktop,Organic Search,8,229.0,0,Windows,home,google,organic
15016,desktop,Organic Search,4,77.0,0,Windows,home,google,organic
15017,desktop,Organic Search,2,14.0,0,Windows,home,google,organic
15018,desktop,Organic Search,7,85.0,0,Windows,home,google,organic
15019,desktop,Organic Search,2,12.0,0,Windows,home,google,organic
15020,desktop,Organic Search,2,22.0,0,Windows,home,google,organic
15021,desktop,Paid Search,4,44.0,0,Windows,product,google,cpc
15022,desktop,Paid Search,2,289.0,0,Windows,product,google,cpc
15023,desktop,Organic Search,3,20.0,0,Windows,home,google,organic
15024,desktop,Paid Search,3,677.0,0,Windows,product,google,cpc
15025,desktop,Organic Search,3,19.0,0,Windows,home,google,organic
15026,desktop,Paid Search,19,1030.0,0,Windows,product,google,cpc
15027,desktop,Direct,5,497.0,0,Windows,home,(direct),(none)
15028,desktop,Organic Search,3,101.0,0,Windows,home,google,organic
15029,desktop,Paid Search,3,96.0,0,Windows,product,google,cpc
15030,desktop,Paid Search,6,1116.0,0,Windows,product,google,cpc
15031,desktop,Organic Search,30,565.0,0,Windows,home,google,organic
15032,desktop,Organic Search,2,37.0,0,Windows,home,google,organic
15033,desktop,Organic Search,5,25.0,0,Windows,home,google,organic
15034,desktop,Organic Search,5,85.0,0,Windows,home,google,organic
15035,desktop,Organic Search,10,143.0,0,Windows,home,google,organic
15036,desktop,Paid Search,2,149.0,0,Windows,product,google,cpc
15037,desktop,Organic Search,10,121.0,0,Windows,home,google,organic
15038,desktop,Direct,11,88.0,0,Macintosh,home,(direct),(none)
15039,desktop,Organic Search,3,28.0,0,Windows,home,google,organic
15040,desktop,Organic Search,5,37.0,0,Windows,home,google,organic
15041,desktop,Organic Search,7,143.0,0,Windows,home,google,organic
15042,desktop,Organic Search,2,134.0,0,Windows,home,google,organic
15043,desktop,Paid Search,2,24.0,0,Windows,product,google,cpc
15044,desktop,Paid Search,3,1126.0,0,Macintosh,product,google,cpc
15045,desktop,Organic Search,7,58.0,0,Macintosh,home,google,organic
15046,desktop,Organic Search,2,3.0,0,Macintosh,home,google,organic
15047,desktop,Paid Search,10,164.0,0,Macintosh,home,google,cpc
15048,desktop,Organic Search,17,627.0,0,Macintosh,home,google,organic
15049,desktop,Organic Search,16,522.0,0,Macintosh,home,google,organic
15050,desktop,Paid Search,11,410.0,1,Macintosh,home,google,cpc
15051,desktop,Paid Search,5,28.0,0,Macintosh,product,google,cpc
15052,desktop,Paid Search,7,52.0,0,Macintosh,home,google,cpc
15053,desktop,Organic Search,11,98.0,0,Macintosh,home,google,organic
15054,desktop,Organic Search,10,27.0,0,Windows,home,google,organic
15055,desktop,Organic Search,3,53.0,0,Windows,home,google,organic
15056,desktop,Organic Search,6,36.0,0,Windows,home,google,organic
15057,desktop,Organic Search,6,257.0,0,Windows,home,google,organic
15058,desktop,Paid Search,2,118.0,0,Windows,product,google,cpc
15059,desktop,Paid Search,2,618.0,1,Windows,checkout,google,cpc
15060,desktop,Paid Search,3,48.0,0,Windows,product,google,cpc
15061,desktop,Paid Search,3,244.0,0,Windows,product,google,cpc
15062,desktop,Organic Search,15,636.0,0,Windows,home,google,organic
15063,desktop,Organic Search,3,45.0,0,Windows,home,google,organic
15064,desktop,Direct,3,94.0,0,Windows,home,(direct),(none)
15065,desktop,Organic Search,7,45.0,0,Windows,home,google,organic
15066,desktop,Organic Search,3,92.0,0,Windows,home,google,organic
15067,desktop,Organic Search,12,1738.0,0,Windows,home,google,organic
15068,desktop,Organic Search,8,1348.0,0,Windows,home,google,organic
